Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Data Architecte - H/F,Seyos,Nantes (44),45 000 € - 60 000 € par an,"Nantes (44)
Temps plein, CDI
45 000 € - 60 000 € par an
Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est une société de 200 personnes, présente en France et à l'international qui propose une assistance par webchat pour les sites e-commerce.

Alors que cette société est en pleine expansion à l'échelle mondiale, elle recherche un(e) Data Architecte, pour renforcer leur équipe.

Localisation : Nantes / Gare-sud
Rémunération : 45 000 - 60 000 Euros
Environnement technique : Kafka, Streaming Architecture, Cassandra, AWS, Machine Learning, Python, Scala, Apache

Vous assurerez la création et l'évolution de la plate-forme de données, avec un large éventail de responsabilités, allant de la surveillance de l'infrastructure de données à l'identification des besoins métiers en matière de données.

Vos responsabilités :
Diriger la vision technique de l'ingénierie et de l'architecture des données,
Concevoir, construire, adapter et faire évoluer la plate-forme de données, les services et les outils,
Fournir des conseils et aider les équipes d'ingénierie à créer des fonctionnalités améliorant l'accès aux données nouvelles ou existantes,
Mentor et évangéliser les développeurs sur Apache Kafka.
Si on parle de vous :
Titulaire d'un Bac +5 en informatique,
Une expérience de 5 à 8 ans, avec des références significatives dans la définition d'architectures et la mise en oeuvre de projets et solutions Big Data chez des clients,
Maîtriser Apache Kafka et connaître un langage de programmation fonctionnelle,
Veille technique ? très bonne connaissance de l'écosystème Big Data,
Vous êtes un solide joueur d'équipe, qui collabore de manière proactive avec d'autres ingénieurs en logiciel.
Les + :
Rejoignez une entreprise internationale en pleine croissance
Travaillez dans un contexte exigeant avec une très bonne ambiance (séminaires, barbecues le midi, organisation de meetups...)
Locaux idéalement situés proche gare.
il y a 25 jours
- Continuer pour postuler
Signaler cette offre d'emploi",21/09/2019,Data_architect,Nantes,16/10/2019,vjk=6ebe0ebc3e22c78e,vide,cdi
Data Architecte F/H,Experis France,Nantes (44),vide,"Nantes (44)
CDI
Nous accompagnons notre client dans le recrutement de son Data Architecte (H/F).

Spécialiste des solutions de Data Management, il accompagne les acteurs majeurs de l’Economie dans la réalisation de leurs projets, pouvant être liés à tous les domaines du Data Management en terme de gestion et de valorisation des données : Intégration de données, qualité des données, Gestion des données de référence, Décisionnel, Gouvernance des données.

En tant que Data Architecte vous serez amené(e) à :
– Animer des projets conduisant au choix des solutions d’architecture ;

– Préconiser, dimensionner et mettre en oeuvre l’architecture technique ;

– Elaborer les bonnes pratiques de développement et d’administration ;

– Rechercher des pistes d’optimisation et les mettre en œuvre ;

– Assurer la relation avec les équipes clientes, en qualité référent technique ;

– Conseiller et accompagner les consultants sur leurs projets ;

– Etre formé(e) à notre approche, nos différents outils, dans le cadre du développement de vos compétences.
Profil recherché Diplômé(e) d’une école d’ingénieur ou d’une formation universitaire,

vous avez une expérience significative dans le Data Management, mais vous êtes surtout motivé(e), dynamique, avec un sens aigu du contact.

Vous aimez faire partie d’une équipe et contribuer à la réussite de celle-ci dans ses différents projets.

Compétences techniques :
– La connaissance d’un outil d’intégration de données de type ETL ;

– La connaissance d’une base de données.
Entreprise Experis est la marque ManpowerGroup dédiée au recrutement de cadres, selon de multiples modalités : recrutement, mise à disposition de ressources, sous-traitance, externalisation.... Experis intervient sur tous les secteurs d’activité, en plaçant la détection du potentiel et de la motivation des candidats au coeur de ses processus.

Grâce à son Cabinet de Conseil en Recrutement, Experis accompagne les entreprises dans leur stratégie d'acquisition de talents en France et à l'international.
Apec.fr - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_architect,Nantes,16/10/2019,vjk=754d924a1b45bb01,vide,cdi
Data Architecte (H/F),Experis Executive,Nantes (44),vide,"Nantes (44)
Nous accompagnons notre client dans le recrutement de son Data Architecte (H/F).
Spécialiste des solutions de Data Management, il accompagne les acteurs majeurs de l’Economie dans la réalisation de leurs projets, pouvant être liés à tous les domaines du Data Management en terme de gestion et de valorisation des données : Intégration de données, qualité des données, Gestion des données de référence, Décisionnel, Gouvernance des données.
En tant que Data Architecte vous serez amené(e) à :
– Animer des projets conduisant au choix des solutions d’architecture ;
– Préconiser, dimensionner et mettre en oeuvre l’architecture technique ;
– Elaborer les bonnes pratiques de développement et d’administration ;
– Rechercher des pistes d’optimisation et les mettre en œuvre ;
– Assurer la relation avec les équipes clientes, en qualité référent technique ;
– Conseiller et accompagner les consultants sur leurs projets ;
– Etre formé(e) à notre approche, nos différents outils, dans le cadre du développement de vos compétences.
Profil recherché
Diplômé(e) d’une école d’ingénieur ou d’une formation universitaire,
vous avez une expérience significative dans le Data Management, mais vous êtes surtout motivé(e), dynamique, avec un sens aigu du contact.
Vous aimez faire partie d’une équipe et contribuer à la réussite de celle-ci dans ses différents projets.
Compétences techniques :
– La connaissance d’un outil d’intégration de données de type ETL ;
– La connaissance d’une base de données.
Poste basé à Nantes, en CDI statut cadre.
Rémunération à négocier selon le profil.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_architect,Nantes,16/10/2019,vjk=6467fd0a3a3180f4,vide,cdi
